id,review_description,Toxicity
24077,تطبيق يساعدك على طلب اكلك المفضل دون اي متاعب ويختصر الوقت....ويعفيك عن الخطوط المشغوله والانتظار...شكرا لكم..,1
24078,الموقع سهل الاستخدام ولكن لا توجد منطقه الرحمانيه للتوصل,1
24079,جداً جمميلل التطبيق💛✔🔝,1
24080,جميل ورائع والمهم يغنيك عن الاتصال وتطلب شخص يتكلم لغتك والاحلى توصيل سريع ناقصه طلب الموقع عن طريق الخريطه,1
24081,لا يطلب,-1
24082,بعدين معكم,1
24083,تطبيق مرة حلو الي سوا,1
24084,موقع اكثر من رائع,1
24085,زفيانع,-1
24086,أريد اسأل سؤال عفيه جاوبوني..هذا التطبيق موجود بالعراق يعني اكو خدمة توصيل؟,1
24087,مرره حلو يجننن احلى تطبيق في العالم,1
24088,سيء  جدا,-1
24089,مين جيف,1
24090,سوال يحتاج شريحة,1
24091,📣Yum OF THE  YUM YUMzzzzz😋😍🎉🎉🎉🎉🎊🎉🎉🏆😎👌👌👌,1
24092,جمييل ويحتوي على تفاصيل الطلب,1
24093,تضيفون كل المطاعم بالمملكه مافي إلا القليل من المطاعم,1
24094,والله أنصحكم تحمللللوه مرره حللو❤❤❤❤,1
24095,"من افشل البرامج الي استخدمتها هلوفود أفضل،طلبت من المطعم الساعه 8 وصارت الساعه 10 ونص ولحد الحين ما جاء الطلب!",-1
24096,رووووووعة انصح به ماشا الله مريح وسريع وامن,1
24098,سهل وجيد الاستخدام 👌,1
24099,لو يحلون مشكلت التأخير يصير افضل برنامج,1
24100,لا يوجد ماك دونالدز,1
24101,المنقذ,1
24102,وااااااايد ساعدني في اختيار المطاعم,1
24103,ممتازين 😍,1
24104,جميل و ممتاز,1
24105,افضل تطبيق لطلب الطعام.,1
24106,غير متاح في مصر,-1
24107,رااااائع جدا جدا جدا,1
24108,سيء جدا جدا فش فية مدينة المفرق,-1
24109,احسن برنامج لتوصيل الطلبات,1
24110,Epic,1
24111,حلؤؤ,1
24112,حبيت والله.👌🏻👌🏻👌🏻😘♥️,1
24113,المطاعم  نصها مغلقه,-1
24114,روعععععععععععتعههههه,1
24115,برنامج يستحق عشري الف نجمه يوصل اسرع شي تتخيله 🖒🖒🖒🖒🖒🖒🖒🖒🖒🖒,1
24117,ممتاز ورائع ولكن  ارجووو اللتقدم بالتوصيل لانه يتأخر وشكراا💜💜,1
24118,هاذا البرنامج اعجبني,1
24119,افظل برنامج على وجه الكره الارضيه افظل من هنجر ستيشن,1
24120,Its so nice. And thanks for your service.,1
24121,حطو ماك,-1
24122,Good App,1
24123,شبعتوني هههههه,1
24124,طلبت اول مرة والطلب ساعتين وماوصل ولغيته بالاخير وكانت آخر تجربه,-1
24125,جدا رائع بس في مشكله في التوصيف اني ما اعرف,1
24126,سيئ جدا و غير محترف ...انصح بعدم التعامل,-1
24127,صدقني لاتروح التعليقات ثانية التطبيق مره حلو 😍😍 لاكن اشوي يتأخر,1
24128,معجبني,1
24129,جيد جدااا,1
24130,جميل  ولكن يحصل تاخير احيانا,1
24131,"يطول حيييييلل ويتأخر الطلب وغير جذي بعض المرات ما يأكدونلي الطلب وهالشي يزعجني مادري وصل طلبي ولا لا ، وغير جذي يوصل الاكل بارد والوجبه متلخبطه فوق بعض وشكلها مايشجع اصلا اني اكلها ، وشكرا",-1
24132,كفو والله,1
24133,البرنامج سيئ جدا حاطين تايم على الفاضي يوصل الطلب بعد ساعه او ساعه ونص تأخير زياده عن اللزوم مايلتزمون با الوقت ابدا,-1
24134,موقع فاشل طلبت من كودا وتقريبا ماجاء طلبي الا بعد ساعتين,-1
24135,ممتاااز والسرعة متوسطة والطعام روعة!!,1
24136,توصيل الطلب ٥ دنانير... يعني اطلع اشتري اوفرلي  كم معجنة تطلع علي ١٠ دنانير شو مجبرني ...سيئه جدا,-1
24137,لاش المطاعم مسكرة,1
24138,جميل ما اقدر اغير,1
24139,شنو هاذا مرة جميل,1
24140,سيئ جدا جودة الأطعمه ليست كجودته في المطعم بالإضافه جميعها بارده آخر مرا أطلب من طلبات,-1
24141,تأخر الطلبيات بشكل كبير,-1
24142,😘😗,1
24143,انها جميل جدا,1
24144,برنامج عادي زي هنقرستيشن وهلفود.,1
24145,عملت طلب واتصلوا علي بعد نص ساعه خيييييير والافضل اتصل على المطعم واطلب واعطيهم اللوكيشن بالواتس اب واريح مخي,-1
24146,تطبيق ممتاز .,1
24147,جميل جدااا💕🙈,1
24148,الموقع رائع جربوه,1
24149,جميل  ورائع جدا,1
24150,تطبيق ممتاز وسهل وجميل,1
24151,واو واو واو واو واو روعه😍😍😍,1
24152,جميل لي انه يمكن الطلب بدون رصيد و الطريق سهل,1
24153,والله  السراحه تطبيق ممتاز أو تطلب المطعم  الي تبي أو في خيارات أو عروض اويجك بوقت المناسب,1
24155,يجنن يوصل لباب بيتي هههه,1
24156,ممتاز جدا ولكن اتمنى ان تكون هناك بعض المسابقات والجوائز مثل طلبات السعودية فسوف يكون هناك مستخدمين اكثر و افضل,1
24158,طلبت الساعة 1 ليلا وكان المطعم متاح وانتظرنا ولم يصل الطلب الى هذا اليوم,1
24159,اجمل طعام ☺☺☺,1
24160,جميل وعادي مافيه شي مره واو يعني,1
24161,مرة ممتاز انا حبيت انو انزلة,1
24162,لو تليفون منطقة نجران أفضل,1
24163,حلوه البرنامج مرهههه,1
24164,الصراحه حبيت هذا البرنامج,1
24165,حلو مشاءالله,1
24166,ماسالله,1
24167,حلو بس انقلش,1
24168,لذيذذ جدا,1
24169,لا انصح فيه  لا انصح فيه  #تاخير#اكل بارد# وجبات ناقصة#اكل قديم#٦ساعات عشان يجيبلي برجر #####,-1
24171,بشوفه الحين,1
24172,رااااحه,1
24173,جميل والطلب سريع,1
24174,اجمل تطبيق في العالم انا انصح الجميع بتنزيله شكر من اهل الاردن لصاحب التطبيق,1
24175,تطبيق ممتاز ويخدمنا في التوصيل . رائع جدا,1
24177,هاذا التطبيق ممتاز,1
24178,هذا. الوقع أفضل. موقع. طلبات,1
24179,مشكلة التوصيل مطعم كودو,-1
24180,حرييقه,1
24181,فاشل مره البرنامج ما يوصل الطلب غير بعد ٥ ساعات ايش,-1
24182,ثاني مره أطلب من هيرفي ومايوصلون الطلب تطبيق فاااااااااشل نجمة وتخب عليه 👎👎👎👎👎👎👎👎👎👎👎👎👎,-1
24184,انه جيد وسريع الاستخدام,1
24185,جداا جمييل,1
24186,الحقيقة أتمنى لكم التوفيق واتمنى يستمر النجاح,1
24187,فيه مشكله يليت يحلونه هرفي يطول يخذ سعتان عشان يوصل,1
24188,على الموعد أو قبل ممتازين,1
24189,السرعة في التسليم,1
24190,برنامج جميل ويسهل مشاكل التلفون,1
24191,انه ممتاز❤,1
24192,افضل واسرع تطبيق استخدمته .. اتمنى لكم التوفيق والتقدم..,1
24193,رائع  😄,1
24194,ممتاز😉🍁,1
24195,برنامج جدا رائع😁💓❤❤,1
24197,هو رائع بس ظشكلته ما يحطلك رقم هاتف المطعم او معلومات مفصلة,1
24198,تطبيق ممتاز و ستخدامة سهل جدا,1
24199,ترني معرف كيف استعمله,1
24200,البرنامج رائع لكن رخصو السعر,1
24202,يا رجل 3 ساعات انتضر الطلب اخر شي يقول فيه خلل ما وصل المطعم البرند حقك 😢مت جووووع   ولو يضيفون خدمت الجي بي اس احسن,-1
24203,سيء لانه لا يوجد مطاعم كثيره متاحه ولا يتم الطلب الا ب ٥٠ ريال وهذا سيء جدا الرجاء وضع الحد الادنى ٢٥ ريال عع الاقل,-1
24204,تطبيق عجيب جدا,1
24205,المطاعم الي في التطبيق ما توصل للحي او للمكان الي انا فيه اتمنى اضافة جميع احياء واماكن المملكة العربية السعودية و أيضاً اضافة الحي الي انا ساكن فيه.,1
24206,توصيل سريعا اكل حار خدمه جيدا,1
24207,يطول ومايجيب الشي بوكته والوجبه الى اطلبه يجيبها اصغر شي شنو هل نصب,-1
24208,برنامج جدا ممتاز انصح بتحميله,1
24209,ممتاز جدا جدا و لذيذ,1
24210,جميل التطبيق وسهل مختصر,1
24211,جمييييل جداا,1
24212,ريحتونا الله يريحكم,1
24213,جميل جداا شكر بس يتإخر شويه,1
24214,حرام 5 ريال توصيل الاكل يجي بارد ومتاخر,-1
24215,كل شيء تمام بس يتاخر,1
24216,تطبيق جميل ويغنيك عن الاتصال,1
24218,يجي بسرعة,1
24219,جيد و سهل المعاملات,1
24220,العيب  فيه  ماتقدر  تتطلب  لشخص   لازم  أكثر  من  ثلاثة,1
24221,بصراحة روعة,1
24222,اتمنى توفير محافظة العقيق في مدينة الباحه,-1
24223,الطلب يوصل زي الثلج,-1
24224,جميل والرجاء الاسراع اكثر,1
24225,❤❤❤بجنن,1
24226,حلووووو مره ويعلمك متى بيجي,1
24227,الموظف قال يجيك الطلب بعد ٣٠ دقيقه .. وللاسف جاني الطلب بعد ساعه و ٣٠ دقيقه  .. جاني السواق اعطيته ٣ ريال فقط .. والحساب ٦٥ وقفلت الباب في وجهه  .. بعد ثلاث ايام رحت المطعم واعطيتهم ٦٢ ريال الباقي ..,-1
24228,حيل حلو بدال مااتعب نفسي بالكلام اطلب بدون كلام و بس بضغطة زر جاء طلبي 😍👌👍,1
24229,زبال,-1
24231,يا حي ن يا زق,-1
24232,مره ححححححححححلللللللللللوووووووو,1
24233,جميل وأنصح بتحميلة,1
24234,سوء المحادثه وعدم الاستفاده منها لانه اكثر طلب يتاخر المحادثه تكون دون فايده,-1
24235,رايع لو يضيفوا ماك دونالدز,1
24236,حلو لكن يتاخر الطلب اذا طلبت من البرنامج,1
24237,جميل💖,1
24238,ليه ما يوصلون الحرازات ترا في ناس كثير 😃,1
24239,اول مره اطلب بس عجيب~,1
24240,جدا رائع👍,1
24241,انها اكثر من روعه,1
24243,ممتاز في كل شي من أفضل التطبيقات,1
24244,مو حلو كلش كل المطاعم مشغوله ومصكره شسالفه ويطولون,-1
24245,يتأخر الطلب ٣ ساعاتت!,-1
24246,ممررههه حلوووو,1
24247,برنمج جيد وممتاز,1
24248,مرررة جميل وتعامل اجمل صار نقص بطلبي وردو ارسلولي الطلب الناقص ..,1
24249,انه جميل لاكن الافضل ان يكون الطعام ساخناً,1
24251,ممتاز وسهل الاستخدام ويوفر خدمة التوصيل,1
24252,تطبيق ممتاز وسهل في الاستخدام,1
24255,مشكلته أن التطبيق ما يقبل طلب أقل من عشر10 ريال😔😔,1
24256,أسرع وأحسن تعامل 💜💜,1
24257,جميييل وبسؤعة كييرة يوصل,1
24258,Qتطبيق جممتاز,1
24277,تطبيق خبيث,-1
24278,كثثثييرر حبييت التطبيق,1
24279,"جميل، لكن يحتاج إلى تطوير",1
24280,مره هذه التطبيق حلو بس يتاخر كثير مرات ايوه ومرات لا,1
24281,انه جميل  جدا سريع التوصيل,1
24282,جميل تساعدوني في إيجاد مطاعم وانا لا اعرف رقمهم ممتاز,1
24283,الخدم زفت,-1
24284,مميزاته إنك تطلب على راحتك بدون اتصال ما يفهمك عليك أو ما تفهم عليه والي يشتكي من التوصيل ما يجيب مكينة سحب أو مامعه صرف أو التأخير.. ترى هذي أسباب من المطعم نفسه مو البرنامج,1
24285,واو جميل بس بغيت مطعم يم يم تري,1
24286,البرنامج رررررررررروعه اشكر الي صممه حتا ان انا ماعرفت از ابطله اول مره بس عرفت وطلبت والأسعار خياليه ورخيصه وفي عروض أعتقد بعد,1
24287,والله العظيم سريع وقليل بحقه ٥ نجوم ورخيص,1
24288,افضل برنامج علي قيد الحياة,1
24289,جميل برنامج,1
24290,مره بطل وسريعين في توصيل الطلب,1
24291,تطبيق رائع و لكن لو كان وقت التوصيل اقل كان افضل,1
24293,والله العظيم روووووووعه مشاالله السواقين محترمين نصيحه حلوه ويوصلك بالوقت,1
24294,متوسط الخدمه حيث تتاخرون بالتوصيل,-1
24295,مرااايوصل متأخر والله والطلب مو كامل,-1
24296,تطبيق جميل ويوصل بسرعه,1
24297,برنامج جدا ناجح وسهل الاستخدام,1
24299,جميل الى ماله نهايه سيظل في قلبي إلى آخر العمر,1
24300,تطبيق وايد روعه 😘,1
24301,جد جد جميل,1
24303,جمييييييل جدا,1
24304,انصحكم تحملونه,1
24305,ممتاز بس ليش مافيه نجران,-1
24306,موقع غبي,-1
24308,افضل تطبيق للطلب شكرا 💙💙💙💙,1
24309,جمييل   بس خليهه يجيب الطلبات بسرعة  سبحان الله وبحمده سبحان الله العظيم استغفر الله العظيم و اتوب إليه ﻻ إله إلا انت سبحانك اني كنت من الظالمين.,1
24310,جميل البرنامج اعطيه خمس نجوم,1
24311,كلاااب المال,1
24312,"التوصيل ناقص ، والمشكلة أكثر من مرة ؛ لا أنصح به نهائيًا",-1
24313,التطبيق ممتاز وروعه,1
24314,انه جيد لكن يأتي بارد قليل,1
24315,رائع جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا,1
24316,يو ار يو,1
24317,مطعم عجيب,1
24318,تطبيق ممتاز يعطيكم العافية,1
24320,ممتاز و مفيد للغايه,1
24321,اختصر الوقت وخاصة للمطاعم المعروفه مسبقا,1
24322,ارجو إضافة نظام تحديد الموقع عشان الهندي مايضيع,1
24323,تطبيق ممتاز جدآ ورائع,1
24324,تطبيق ممتاز لكن يحتاج إلى وقت أقل في التوصيل,1
24325,هذا برامج يجنن,1
24326,جميل وخدمة العملاء محترمين,1
24327,جدا ممتاز التطبيق وسهل وواضح وفيه صور لبعض الوجبات,1
24328,يا ليت لو تزيدوا بقائمة المطاعم,1
24329,راااااااااااااااااااااااااااااااااااااااائع,1
24330,تطبيق ممتاز يعفيك عن الاتصال والخط مشغول او محد يرد والمصيبه اذا تكلم المطعم وموفاهم عليك او انت موفاهم شوف الي تبيه وختار بمزاجك احسن من اتكلمهم ويقولك في عرض او اظيفلك الشغله هذي حلوه ويطولها معاك شكرا,1
24331,والله ماشي احسن من طاب.,1
24332,تطبيق رائع وجميل,1
24333,تطبيق روعه مره سهل,1
24334,الزق بوجه البرنامج,1
24335,راع مرررررررررررررررره👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,1
24336,يا شيخ عدت اكثر من ساعة ونص ولا جا الطلب واتصل عليهم ما يردون وشوي ويعطوني مشغول وارجع اتصل وما يردون وربي ابو كلب في ااجنوب تحديد يا شيخ خدمه زق,-1
24337,كهف,-1
24338,سوال البرنامج لازم تكتبين الرقم السري للبنك او اذا وصل الطلب تدفعين,1
24339,تطبيق ولا اروع😍😍😍😍,1
24340,تطبيق متجدد وتحديثات مفيده والى الامام وبالتوفيق,1
24341,خايس ما انصحكم فيه يقول حد ادنى 60 دقيقه وصار له ساعه ونص ولا جاء الطلب,-1
24342,سهل مره,-1
24343,تطبيق جدآ رائع 😍😍😍,1
24345,رواع,1
24346,تطبيق فاشل لافي متابعته الطلب والمطعم يتأخر عليك ولا فيه اي شي اطلب في وقت المحدد يجي بعد٤٥دقيقه والفعلي يجيك بعد ساعه الى ساعتين,-1
24347,كثييييييييييييرحللو😄😄😄😄😄😄😄😄😄😄😄😄😄😍😄😄😄😄😄😄😄😄     😁😋🤣😍😄😉😗,1
24348,التطبيق ممتاز وسرعة التوصيل,1
24349,اروع من كذا مافيش,1
24350,احلى برنامج شكرآ 😍,1
24351,واايد حلو وسهل,1
24352,احب طعم الأكل والوجبات,1
24502,ليش ماكو العرررررررررررراق,-1
24503,ررررررررررراع,1
24504,الموقع رهيب استمرو..♡♡,1
24505,جميل جدا ورائع اشكركم,1
24506,تقدر طلب اي شي,1
24507,ليش مافيش في اليمن الرجاء حل المشكله,-1
24508,البرنامج رائع بيجنن 😄😄😄😄😄,1
24509,يعني التطبيق مو ذاك الزود,1
24510,جربماه وتقدير ممتاز,1
24511,هلو حلو تطبيق,1
24512,هل يوجد في تركيا هذا الطتبيق,-1
24513,مررررر حلو حتى انو التوصيل بي خمس ريال بس أنصحكم تحملوه بس في مشكلة الي هي لما تطلبين يقعد الطلب ساعة,1
24514,كل ماجي انفذ الطلب و الرمز يترسل و يدخل صح لكن يكتبلي عذرا الرمز خطأ ايش الحل ؟,-1
24515,اتمنى لكم الأفضل,1
24516,برنامج حلو وكل حاجه ادامي واختار براحتي بس مشكله المطاعم بيجبو سواق هندي مش عارف العنوان يفضل ساعه في الطريق الي جايبين مصريين بيوصل بسرعه,1
24518,جيد بكل إمتياز مباشر وسريع لا تتراجع في الأختيار,1
24519,وصخخخخخ,1
24520,جميل جدا😍😍,1
24798,ارجوا ان يكون التقييم باللغة العربية,1
24799,جميل و خفظو من اسعار التوصيل او من الحد الادنى للطلب,1
24800,الاكل يتاخر ويصل باارد,-1
24801,اريد الكثير من المطاعم الصحيه,1
24802,اختيارى المفضل,1
24803,عبوووود البرنامج مممممره حلو,1
24804,البرنامج اكثر من رائع و سهل علينا الطلبات,1
24805,ممتاز جدا وما يتأخر الطلب للتقدم ان شاء الله,1
24806,توصيل سريع وخدمه ممتازه,1
24807,انتم راعين يا مطعم توصيلا الوجبات السريعة انا احبكم,1
24808,برنامج مره ممتاز,1
24809,طلبت هارديز  من اضهر لليل,-1
24810,جميل ومبدع ابغی يكثرون من هذا التطبيق جميل  بمعنى الجمال,1
24811,كان را أع جدن,1
24812,أفضل طريقة لطلب,1
24813,شكرا على المجهود,1
24814,اشكركم جدا♡,1
24815,جميل الأكل 😋😋🍔🍟,1
24816,ممتاز للمو فاضي يروح المطعم وا يدور رقم مطعم,1
24817,تعجبنيط,1
24818,برنامج ممتاز بعروضه الممتازة,1
24819,موقع ممتاز بالنسبه لي فك لي ازمه,1
24820,عند الدفع بال كي نت لا يفتح للدفع,-1
24821,أبغى أسئل,1
24822,برنامج فااااااشل طلبت من كنتاكي ورد علي حق طلبات يقول بعد شوي يدق عليك المطعم ويأكدون الطلب وانا قلت اوك وانتظرت ساعة ونص بعدين دق علي السواق يقول ما معه رصيد انت اتصل!!!! دقيت عليه يقول وين بيتكم قلت انت وينك قال انا في المطعم قلت خلاص لا تجي انا غلطان اللي مصدقكم وقلت اجرب واخرتها متت من الجوع نصيييييحة اذا تبي طلب اتصل على المطعم مباشرة اسرع واسهل لا تستخدم التطبيق والله فااااااشل,-1
24823,The app is awesome,1
24824,بس يطاول,1
24826,والله لاهو سريعين بالتوصيل وياخذون حق التوصيل بعد واسعار اغلى من لو رحت للمطعم,-1
24827,اضخم برنمج,1
24828,صراحه انه مره صعب لأن اللغة انجليزي غيرو اللغة وخلوها عربية,-1
24829,انه تطبيق رائع جداً جداً جداً جداً رائع,1
24830,تطبيق رائع واهتمام ممتاز,1
24831,جميل جدا لراحتكت العميل,1
24832,أفضل موقع لطلب المطاعم,1
24833,لللللللللل سماجه    هلاوغلا بصحن الحلى 😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛😛,1
24834,تعيس جدا جدا مرتين اطلب منه وكل مره تاخير وانا حطيت نجمه واحده لاكتب رايي فيه,-1
24835,ممتاز و بس,1
24836,اطلب متى ما ابي,1
24837,والله طلبت 8 ادق عليه 11 يقول باقي الله يقلعكم والله فااشل يتاخر مرررررره,1
24838,ممتاز ولكن يحتاج إشراف على نوع الطلب أكثر,1
24839,اا يعجبني لانه لايوجد توصيل لقرية قديد القريبه من المدينه اتمنى توفير ذالك,-1
24840,انا احببت ضالك,1
24841,الاول على البرنامج الاكل,1
24842,حلوى,1
24843,رائع جدا ومتميز,1
24845,فاشل كل ماطلبت انطر ساعه او ساعتين آخر شي اروح اتصل على المطعم واطلب,-1
24847,شي جميل فوق الوصف,1
24848,خدمه سريعه و جميله,1
24849,غير متوفر في فلسطين,-1
24850,روعه هالبرنامج,1
24851,رووووووعة والله,1
24852,البرنامج مرررره جميل,1
24853,تطبيق جميل والاخيارات متنوعة,1
24854,والله احسن تطبيق في العالم لطلب الطعام  أنصحكم نزلوة,-1
24855,برنامج ممتاز😊,1
24856,بطللل فوق هذا يدعم العمل الخيري ❤👌,1
24857,افضل تطبيق وادارته تهتم بكل التفاصيل,1
24858,انا جوعان,1
24859,روعه ومنقذ,1
24860,انا جيعان سرعو وقت وصول الصلبات,1
24861,برامج ممتاز,1
24862,جدااااا سيء الطلب جاه بعد ساعة وباااارد مرة وفي سندويش رميته علشان حار ومع انوا أكدت للموظف انوا ما يكون حااااار فاشل وهادي تاني مرة أدبس فيها مع طلبات . كوم التوبة  جاري الحذف ........,-1
24863,سيئ جدا جدااااا جداااا لاانصح احد بتحميله,-1
24864,لا بأس به افضل من هنقر استيشن,1
24866,روعههه,1
24867,ليس ممتاز اقترح عليكم خذفه من متجر بليه,-1
24868,جميل جدا فوق الخيال,1
24869,رائع و سهل الاستخدام.,1
24870,ابداع استمرو الله يقويكم,1
24871,تطبيق جيد و لم اواجه اي مشاكل,1
24872,سهل جدا وسريع,1
24873,ممتاز لمدينة مكة المكرمة ومقبول لمدينة جدة,1
24874,غير مريح يتاخر والمفروض باللوكيشن عرف الموقع بدون وصف,-1
24876,عجيب اللهم لا حسد الطلبات جداً مميزه 😅,1
24877,احسن موقع بلكويت,1
24879,رائع جداجدا,1
24880,جميييللل,1
24881,الله يرحم امك اقلها حطلنا قسم شكاوي او رقم مدير المطعم قسم بلله كذا مره مره مره ماينفع,-1
24882,وعععع خايس,-1
24883,لو ظليتو اي فود كان احسن,-1
24884,البرنامج جيد جداً .. بحاجة في تمكين الطلب من اكثر من مكان واحد في نفس الوقت .. بحيث اقدر اطلب العشا من مكان والمشروبات من مكان اخر .. والحلا من مكان ثاني.. وهكذا,1
24885,فاشل جدا حملته ابغى اجربه وطلبت و وصلتني الطلبات كلها عكس اللي طلبته و وصلت بعد ساعتين وارسلت لهم بنفس البرنامج وما ردوا وحذفت البرناج وجيت انبهكم .. وراح انشر عنه بالتويتر بالصور عشان العالم تعرف انهم فاشلين,-1
24886,احلا برجر مع بيتزا عائلي وحد بيبسي,1
24887,لي فوق الثلاث ساعات و انا طالبه ولسى ماوصلني شي أول مرة و آخر مرة اتعامل معه..,-1
24888,جداااااااااااا جميل وانصح به,1
24889,حريققق,1
24890,يتأخر اشوي,1
24891,شكرا الموقع ممتاز 👍,1
24892,جميل جداً ⚘,1
24894,ليش بس تحديد الموقع بالبحرين بس نبغا بالسعوديه لان احيانا يجينا عامل صعب الشرح له,1
24895,حملته وحطيت موقعي حسسني اني عايشة ف صحرا .. مافي ولاااا شي عندي مع اني ساكنة بمكة .,-1
24898,يحتاج مزيد من المطاعم,1
24899,اجمل موقه على الاطلاق لقد اعجبني ذالك,1
24900,ممتاز وانصحكم فيه لكن احيانا المطعم الي تبغي تطلب منه يكون مشغول,1
24901,افادني وايد بفتره تواجد ابوي في المستشفى والفتره اللي ماشيل معاي فلوس في العمل,1
24902,فااااااشل,-1
24903,رائعه بس تاخير الطلب وعدم لاتصال,1
24904,التطبيق حيل كلو ما شاء الله الله يبارك,1
24905,طلبت أحد المطاعم وما جاني الطلب  رغم أن جاتني رسالة تأكيد بالطلب .. أنا أرى أنه يجب محاكمة صاحب البرنامج قانونيا ..,-1
24906,البرنامج زفت لمه اطلب بدو 3سعات,-1
24907,بعض المطاعم فيها تأخير وبعد مرور الوقت ينتبهون,1
24908,برنامج جيد وسهل المشاوير موفقين,1
24909,وقع ولا اروع وسريع والموقع واضح,1
24910,روعه روعه روعه روعه,1
24912,نتتتتتن  واثنين واحد احمر,1
24913,تطبيق سهل جدا,1
24914,ابي ايفون,1
24915,لا يضهر جميع المطاعم بس هرفي وبيتزا ان ويكتب مشغووله المطاعم برنامج فاااااااشل,-1
24916,كتبنا بعدين مسحتو كتابتنا وش وضعكم محنا فاضين كل شوي نكتب طالبين رايينا واحنا جواعا,-1
24917,كم مره اطلب لا يوصلني ولا يتصل علي,-1
24918,جميل وراع,1
24919,ناقصة خريطة التوصيل لو تضيفون خريطة الطلب من المطعم الى البيت وايد افضل,1
24922,جمييل جدا يعطيكم العافيه للقائمين عليه افادني جدا ودعاً للشحن علشان تطلب اطلب عن طريق الواي فاي,1
24923,"ليه ٣ ساعات ونص انتظر ،  برنامج زبالة",-1
24924,انا ارجو ضيافة بعض المحافظات في الأردن بدي بالمفرق ارجوكم,-1
24926,0 من عشره ضيفو نجران ليش جازان وابها موجودة,-1
24927,فااشل جدا الاكل يتاخر اكثر من ساعتين,-1
24935,لما جابوا الطلب شخيت,1
24937,خدمة العملاء كويسة ييببله زيادة مطاعم شوي بس,1
24938,برنامج اكثر من رائع وانصح به,1
24939,لا تستخدمونه ياخذ رقمك السري ويسحب       فلوسك والله انا سحبو مني ٩٠٠ وبقا بالبنك ٣٠٠ حراااااام عليهم كلاب والله انصحكم,-1
24940,احببه,1
24941,فااااااااشل,1
24942,يتاخر جدا,-1
24943,جمييييييييييل,1
24944,أحب هذ التطبيق,1
24945,هدا التطبيق بجنننننن,1
24946,عجيب استخدمه بدال لا ادق,1
24948,ليتك سيزرز فرع ابوعريش طعم جداخايس وطلب يوصل متاخر وناقص حسبنا الله عليكم,-1
24949,ما في احسن منه,1
24950,جميل جدا عشان ضم الاردن,1
24951,انا لسا الصراحه ماطلبت من التطبيق بس امبين عليه منيح,1
24952,تطبيق رائع ومريح ويظهر الاصناف والصور بشكل ممتاز وتوصيل سريع شكرا طلبات,1
24953,ممتاز جدا استمروا بذالك,1
24954,سريع ويفك ازمة 👌,1
24955,والله برنامج جدآ رائع ارجوكم استمره,1
24956,جميييييييييييل جدااااااااال👍👍👍👍,1
24957,التطبيق سهل في التعامل لاكن يرجوا تفعيل الكوبونات من المواقع,1
24959,جداً جميل,1
24960,فاشلين ويتاخروا ساعتين عشان مطعم قريب,-1
24961,عابده,1
24962,وربي موقع مره بطل,1
24963,Very  very good,1
24964,ليه ما اقدر اطلب من ماك وهارديز وكدا😢😢,-1
24966,من اخترع هذا التطبيق فانة سيربح الناس لاختيار المطعم الذي يحب  سريع للمجىء,1
24967,أحسن برنامج لطلب الوجبات,1
24968,موقع جيد 🖒,1
24969,ممتاز وسهل الاستعمال,1
24970,"حلو بس، عيبو يتاخرر",1
24971,تطبيق ممتاز في غلطه اذا بكنسل الطلب,1
24972,البرنامج جميل وحلو لاكن في مشكلتين الاولى يلغي الطلب من حاله والثانيه يتاخر,1
24973,الصراحة البرنامج رائع 😇,1
24974,حب دالك,1
24976,واايد زين التطبيق و حلو,1
24977,أحسن من هنقر ستيشن بألف مره,1
24978,العاملين يتعبون بتوصيل الطلب,-1
24979,الخدمه جدا سريعه وسهله,1
24980,راءع ماتتوقعة,1
24981,الصراحه برنامج اعجبني جدا,1
24982,انها ليست ممتازه,-1
24983,انصح لا احد يحملها حسبيا الله ونعمل وكيا,-1
24984,وايد يتاخر مايوصل في وقت المحدد,1
24985,البرنامج مررررره حلو ويستاهل ٥ نجوم,1
24986,البرنامج ولا غلطة,1
24987,جميل لكن هناك مشكلة وهي التوصيل يتأخر  فقط وشكرا,1
24988,great.. رائع,1
24989,"مرا جميل  حتى توصيلهم بالوقت نفسه بس تمنيت لو الحي النسيم يزيدوا مطاعم فيه مثل هارفي، وماكدلوندز",1
24990,فاشلللل لحد يحمله صرلي  أكثر من 6 ساعات وتوه يجي الطلب جاري المسح,-1
24991,الطلبات تتأخر كثيرا و يتم الغاء الطلب دون الرجوع لاحد .. التطبيق يتراجع و يفشل,-1
24992,مرحلا هوا,1
24993,شكرا على هالموقع وصراحه مب اول مره اطلب وكل شي اوك سواء بالتواصل اوالخدمه,1
24994,الصراحه ممتاز,1
